id;timestamp;filename
1;2017:04:06 06:32:43;https://farm3.staticflickr.com/2878/33919447641_e9e2cd0b46_o.jpg
2;2017:04:06 06:33:06;https://farm3.staticflickr.com/2826/33663922560_19280e0e93_o.jpg
3;2017:04:06 06:40:10;https://farm3.staticflickr.com/2899/33236975563_d60ceb0708_o.jpg
4;2017:04:06 12:49:30;https://farm3.staticflickr.com/2809/33940013011_39910a29ac_o.jpg
5;2017:04:06 12:55:12;https://farm3.staticflickr.com/2949/33257862693_f3a9e5fc67_o.jpg
6;2017:04:06 12:55:16;https://farm3.staticflickr.com/2862/33257864213_bcbd81f00b_o.jpg
7;2017:04:06 12:55:21;https://farm3.staticflickr.com/2831/33257865913_1d66776276_o.jpg
8;2017:04:06 12:55:46;https://farm3.staticflickr.com/2853/33257868323_47222b26ac_o.jpg
9;2017:04:06 12:55:59;https://farm3.staticflickr.com/2914/33685028140_baa6b62626_o.jpg
10;2017:04:06 12:56:00;https://farm3.staticflickr.com/2822/33685030260_e1190b02ff_o.jpg
11;2017:04:06 12:57:25;https://farm4.staticflickr.com/3949/33913393362_4c1c7d4612_o.jpg
12;2017:04:06 12:57:39;https://farm4.staticflickr.com/3945/33913395202_468e28e64f_o.jpg
13;2017:04:06 12:57:48;https://farm3.staticflickr.com/2822/33913397082_83a8f509dd_o.jpg
14;2017:04:06 12:57:49;https://farm3.staticflickr.com/2941/33913398702_c9d525dfb2_o.jpg
15;2017:04:06 12:57:49;https://farm3.staticflickr.com/2912/34069787985_f14b239f11_o.jpg
16;2017:04:06 12:59:21;https://farm3.staticflickr.com/2934/34069789175_22419bce61_o.jpg
17;2017:04:06 13:21:47;https://farm4.staticflickr.com/3939/34069789725_feb007251b_o.jpg
18;2017:04:06 13:22:13;https://farm4.staticflickr.com/3937/34069790465_f937f56942_o.jpg
19;2017:04:06 13:22:55;https://farm3.staticflickr.com/2830/34069791115_1411d7ce74_o.jpg
20;2017:04:06 16:53:20;https://farm4.staticflickr.com/3928/34029697896_421a0a780f_o.jpg
21;2017:04:06 16:55:52;https://farm3.staticflickr.com/2869/34029698866_8ac746aaaf_o.jpg
22;2017:04:06 16:59:13;https://farm3.staticflickr.com/2916/34029699826_121eab7bbb_o.jpg
23;2017:04:06 18:30:52;https://farm4.staticflickr.com/3929/34029700866_27498a0c16_o.jpg
26;2017:04:06 18:51:26;https://farm3.staticflickr.com/2868/33913423592_111191432d_o.jpg
27;2017:04:06 18:52:00;https://farm3.staticflickr.com/2920/34069796325_15c253888e_o.jpg
28;2017:04:06 18:53:04;https://farm3.staticflickr.com/2890/34069797045_21bc0c507b_o.jpg
29;2017:04:06 18:53:10;https://farm4.staticflickr.com/3952/33685570700_ee9b42d76b_o.jpg
30;2017:04:06 19:00:45;https://farm3.staticflickr.com/2929/33685572020_3887173a6d_o.jpg
31;2017:04:06 19:01:36;https://farm3.staticflickr.com/2947/33685573500_d209754a59_o.jpg
32;2017:04:06 19:04:13;https://farm3.staticflickr.com/2925/33685574790_c761885985_o.jpg
33;2017:04:06 19:09:31;https://farm3.staticflickr.com/2821/33685577110_5ab255a38c_o.jpg
34;2017:04:06 19:15:09;https://farm4.staticflickr.com/3933/33685579000_58b4ef86ee_o.jpg
35;2017:04:06 19:15:10;https://farm3.staticflickr.com/2811/33685580960_0de880a09a_o.jpg
36;2017:04:06 19:15:14;https://farm3.staticflickr.com/2901/33685582460_97159f3c57_o.jpg
37;2017:04:06 19:16:00;https://farm3.staticflickr.com/2891/33685584420_169d117297_o.jpg
38;2017:04:06 19:17:08;https://farm3.staticflickr.com/2906/33227784544_a086c570e1_o.jpg
39;2017:04:06 19:23:43;https://farm4.staticflickr.com/3938/33227786184_0cbe7abf63_o.jpg
40;2017:04:06 19:46:04;https://farm3.staticflickr.com/2888/33227788144_cbe654ec69_o.jpg
41;2017:04:06 19:51:45;https://farm3.staticflickr.com/2845/33227790314_ce7cb88fbb_o.jpg
42;2017:04:06 20:00:20;https://farm3.staticflickr.com/2912/33685593190_d8b1f290d8_o.jpg
43;2017:04:06 20:00:36;https://farm3.staticflickr.com/2912/34029720386_9e74826d6a_o.jpg
44;2017:04:06 20:07:16;https://farm3.staticflickr.com/2874/33940577261_834d92754a_o.jpg
